compound_form,compound_form_normalized,PhoneticVersion_Compound,reading_status,reading_source,nested_in_forms,component_reading_inferred
3/4(GUR),3/4(GUR),3(barig@v)|3(bariga)@v,ATTESTED_DIRECT,OSL,,2(barig@v)-1/6(diš)@v
OO,OO,oo,ATTESTED_DIRECT,OSL,,
|(BU&BU)×NA₂.A|,(BU&BU)×NA2.A,,NO_ATTESTED_READING,,,arinaₓ-'u4
|(HI&HI).SUHUR|,(HI&HI).SUHUR,,NO_ATTESTED_READING,,,
|(PAN&PAN).(EŠ₂&EŠ₂)|,(PAN&PAN).(EŠ2&EŠ2),lubširₓ,ATTESTED_DIRECT,OSL,,
|(SU.LU.EŠ₂.GAR)&(SU.LU.EŠ₂.GAR).ŠIR|,(SU.LU.EŠ2.GAR)&(SU.LU.EŠ2.GAR).ŠIR,,NO_ATTESTED_READING,,,
|(ŠE%ŠE).KIN|,(ŠE%ŠE).KIN,gurₓ,ATTESTED_DIRECT,OSL,,
|(ŠE&ŠE).KIN|,(ŠE&ŠE).KIN,gurₓ,ATTESTED_DIRECT,OSL,,
|(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAD&GAD|,(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAD&GAD,,NESTED_IN_LONGER_FORM,,(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAD&GAD.GAR&GAR,
|(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAR|,(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAR,,NO_ATTESTED_READING,,,garadin₆?-ga4
|(ŠE.NUN&NUN)&(ŠE.NUN&NUN).LAGAB|,(ŠE.NUN&NUN)&(ŠE.NUN&NUN).LAGAB,(ŠE.NUN&NUN)&(ŠE.NUN&NUN).LAGAB,ATTESTED_DIRECT,SYLLABARY_CM,,garadin₆?-ella2
|(ŠE.NUN&NUN)&(ŠE.NUN&NUN).U₂|,(ŠE.NUN&NUN)&(ŠE.NUN&NUN).U2,ninniₓ,ATTESTED_DIRECT,OSL,,garadin₆?-ba6
|1(DIŠ).1(BAN₂)|,1(DIŠ).1(BAN2),7(ban₂),ATTESTED_DIRECT,OSL,,anₓ-ban₂
|1(DIŠ).2(BAN₂)|,1(DIŠ).2(BAN2),8(ban₂),ATTESTED_DIRECT,OSL,,anₓ-bamen
|1(DIŠ).3(BAN₂)|,1(DIŠ).3(BAN2),9(ban₂),ATTESTED_DIRECT,OSL,,anₓ-3(ban₂)
|3×AN.BAR|,3×AN.BAR,suhub|šuhub,ATTESTED_DIRECT,OSL,,anx3-ba15
|9(DIŠ~b)+9(DIŠ~b)|,9(DIŠ~b)+9(DIŠ~b),,NO_ATTESTED_READING,,,ilimmu₄-ilimmu₄
|A.A.A|,A.A.A,ayayaₓ,ATTESTED_DIRECT,OSL,,'u4-'u4-'u4
|A.AB.BA|,A.AB.BA,,NO_ATTESTED_READING,,,'u4-ab-ba
|A.AN|,A.AN,a₄|am₃|emₓ|še₇|šeg₃|šeŋ₃|šemₓ,ATTESTED_DIRECT,OSL,,'u4-/dimer/
|A.A|,A.A,ai|aia|aya|aye|ayi|ayu|ayya|ayye|ayyi|ayyu|iya|iyi|iyu|iyya|iyyi|iyyu|yaₓ,ATTESTED_DIRECT,OSL,,'u4-'u4
|A.BAD|,A.BAD,agam,ATTESTED_DIRECT,OSL,,'u4-ba9
|A.BAR.BAHAR₂|,A.BAR.BAHAR2,baharₓ,ATTESTED_DIRECT,OSL,,'u4-ba15-/allura/
|A.BARA₂|,A.BARA2,idₓ,ATTESTED_DIRECT,OSL,,'u4-bar2
|A.BI|,A.BI,maštabaₓ,ATTESTED_DIRECT,OSL,,'u4-be2
|A.BU.DU|,A.BU.DU,,NO_ATTESTED_READING,,,'u4-bu-aragub
|A.BU.HA.DA|,A.BU.HA.DA,,NO_ATTESTED_READING,,,'u4-bu-'a4-ax(da)
|A.BU.HA.DU|,A.BU.HA.DU,,NO_ATTESTED_READING,,,'u4-bu-'a4-aragub
|A.BU.HA.NI.DU|,A.BU.HA.NI.DU,,NO_ATTESTED_READING,,,'u4-bu-'a4-be3-aragub
|A.BU.HA|,A.BU.HA,,NO_ATTESTED_READING,,,'u4-bu-'a4
|A.BU|,A.BU,,NESTED_IN_LONGER_FORM,,SI.A.BUR2,'u4-'u4-'u4-bu-bu-bu
|A.DU&A.DU|,A.DU&A.DU,,NO_ATTESTED_READING,,,
|A.DU|,A.DU,a-ra₂|tuše|tuššuru,ATTESTED_DIRECT,OSL,,'u4-aragub
|A.EDIN.A.LAL|,A.EDIN.A.LAL,ummu,ATTESTED_DIRECT,OSL,,'u4-bilx(edin)-'u4-la2
|A.EDIN.NA|,A.EDIN.NA,,NO_ATTESTED_READING,,,'u4-bilx(edin)-aniku
|A.EDIN|,A.EDIN,eribₓ|eru₄|erua|erum₄|ummuₓ|ummudₓ,ATTESTED_DIRECT,OGSL,,'u4-'u4-bilx(edin)-bilx(edin)
|A.GABA.LIŠ.TU|,A.GABA.LIŠ.TU,A.GABA.LIŠ.TU|ASALX(|A.GABA.LIŠ.TU|)|asalx(|A.GABA.LIŠ.TU|),ATTESTED_DIRECT,SYLLABARY_CM,,'u4-du8-del₂-du2
|A.GAR₃|,A.GAR3,a-gar₃|ugar,ATTESTED_DIRECT,OSL,,'u4-gar3
|A.GISAL.PAD.SI.A|,A.GISAL.PAD.SI.A,addirₓ,ATTESTED_DIRECT,OSL,,'u4-gisal-bad2-hux(si)-'u4
|A.GISAL.SI.ELLES214|,A.GISAL.SI.ELLES214,addirₓ,ATTESTED_DIRECT,OSL,,
|A.GISAL.SI|,A.GISAL.SI,,NESTED_IN_LONGER_FORM,,PA.GISAL.SI.A.PAD; PA.GISAL.SI.A,'u4-gisal-hux(si)
|A.GISAL|,A.GISAL,,NESTED_IN_LONGER_FORM,,A.PA.GISAL.PAD.SI.A; PA.GISAL.SI.A.PAD; PA.GISAL.SI.A,'u4-gisal
|A.GIŠ%GIŠ.NUN|,A.GIŠ%GIŠ.NUN,,NO_ATTESTED_READING,,,'u4-adamen₃-...ri
|A.GIŠ.TU.GABA.LIŠ|,A.GIŠ.TU.GABA.LIŠ,A.GIŠ.TU.GABA.LIŠ|ASALX(|A.GIŠ.TU.GABA.LIŠ|)|asalx(|A.GIŠ.TU.GABA.LIŠ|),ATTESTED_DIRECT,SYLLABARY_CM,,'u4-es-du2-du8-del₂
|A.GUD×KUR|,A.GUD×KUR,{ŋeš}|A.GUD×KUR|,ATTESTED_DIRECT,DIRI,,'u4-adar2
|A.GU|,A.GU,zah₃,ATTESTED_DIRECT,OSL,,'u4-gu
|A.HA.A.DU|,A.HA.A.DU,,NO_ATTESTED_READING,,,'u4-'a4-'u4-aragub
|A.HA.A|,A.HA.A,sahₓ|zahₓ,ATTESTED_DIRECT,OSL,,'u4-'a4-'u4
|A.HA.BU.DU|,A.HA.BU.DU,,NO_ATTESTED_READING,,,'u4-'a4-bu-aragub
|A.HA.BU.LAGAB|,A.HA.BU.LAGAB,,NO_ATTESTED_READING,,,'u4-'a4-bu-ella2
|A.HA.BU.TAR.DU|,A.HA.BU.TAR.DU,,NO_ATTESTED_READING,,,'u4-'a4-bu-dar6-aragub
|A.HA.DU|,A.HA.DU,,NO_ATTESTED_READING,,,'u4-'a4-aragub
|A.HA.MUŠ.DU|,A.HA.MUŠ.DU,,NO_ATTESTED_READING,,,'u4-'a4-imdudu-aragub
|A.HA.TAR.A.DU|,A.HA.TAR.A.DU,,NO_ATTESTED_READING,,,'u4-'a4-dar6-'u4-aragub
|A.HA.TAR.UD.DU|,A.HA.TAR.UD.DU,,NO_ATTESTED_READING,,,'u4-'a4-dar6-a12-aragub
|A.HA|,A.HA,kuar₂|kuara₂|sahₓ|tuba₂|urumₓ|xriₓ|zahₓ,ATTESTED_DIRECT,OGSL,,'u4-'u4-'a4-'a4
|A.HU.SI|,A.HU.SI,liq₃,ATTESTED_DIRECT,OSL,,'u4-'u5-hux(si)
|A.IGI.GIR₃|,A.IGI.GIR3,,NO_ATTESTED_READING,,,'u4-bad5-anše2
|A.KAL|,A.KAL,ela|ella|eribₓ|illu,ATTESTED_DIRECT,OSL,,'u4-alad2
|A.KA×A|,A.KA×A,uguₓ,ATTESTED_DIRECT,OSL,,'u4-emma2
|A.KU|,A.KU,guninₓ,ATTESTED_DIRECT,OSL,,'u4-be5
|A.KUŠU₂|,A.KUŠU2,akšak₂,ATTESTED_DIRECT,OSL,,'u4-kuš9
|A.LAGAB.LAGAB|,A.LAGAB.LAGAB,enigin,ATTESTED_DIRECT,OSL,,'u4-ella2-ella2
|A.LAGAB×A|,A.LAGAB×A,buniŋₓ|buninₓ,ATTESTED_DIRECT,OSL,,'u4-'u4-'u4-a'a3-a'a3-a'a3
|A.LAGAB×HAL.DI|,A.LAGAB×HAL.DI,id₇,ATTESTED_DIRECT,OSL,,'u4-angur-de
|A.LAGAB×HAL.GAL|,A.LAGAB×HAL.GAL,id₆,ATTESTED_DIRECT,OSL,,'u4-angur-gal
|A.LAGAB×HAL.PAP.NA₂|,A.LAGAB×HAL.PAP.NA2,isubuₓ,ATTESTED_DIRECT,OSL,,'u4-angur-aha3-daramx(na2)
|A.LAGAB×HAL.UD.NUN.KI|,A.LAGAB×HAL.UD.NUN.KI,darengalₓ|idarengalₓ|isurugalₓ|išuruengal|surengal|surgal|turungalₓ,ATTESTED_DIRECT,OSL,,'u4-angur-a12-...ri-ammax(ki)
|A.LAGAB×HAL.X|,A.LAGAB×HAL.X,azadₓ,ATTESTED_DIRECT,OSL,,
|A.LAGAB×HAL.ŠU₂.A|,A.LAGAB×HAL.ŠU2.A,,NO_ATTESTED_READING,,,'u4-angur-ešša2-'u4
|A.LAGAB×HAL.ŠU₂|,A.LAGAB×HAL.ŠU2,azadₓ,ATTESTED_DIRECT,OSL,,'u4-angur-ešša2
|A.LAGAB×KUL.ŠU₂.MA₂.A|,A.LAGAB×KUL.ŠU2.MA2.A,,NO_ATTESTED_READING,,,'u4-esir2-ešša2-hux(ma2)-'u4
|A.LAGAB×KUL.ŠU₂|,A.LAGAB×KUL.ŠU2,azadₓ,ATTESTED_DIRECT,OSL,,'u4-esir2-ešša2
|A.LAGAB×MU|,A.LAGAB×MU,buniŋₓ,ATTESTED_DIRECT,OSL,,
|A.LAGAB×U|,A.LAGAB×U,,NO_ATTESTED_READING,,,'u4-bu4
|A.LAGAR@g|,A.LAGAR@g,,NO_ATTESTED_READING,,,'u4-du6
|A.LAK648×A.GAD.GAR.A.SI|,A.LAK648×A.GAD.GAR.A.SI,,NO_ATTESTED_READING,,,
|A.LAK648×A|,A.LAK648×A,addirₓ,ATTESTED_DIRECT,OSL,,
|A.LUM|,A.LUM,aslumₓ,ATTESTED_DIRECT,OSL,,'u4-egir5
|A.LU₂@s.NA|,A.LU2@s.NA,a-rin₄-na|arinaₓ,ATTESTED_DIRECT,OSL,,'u4-ad₇-aniku
|A.LU₃|,A.LU3,a-gar₅|kunigara₅,ATTESTED_DIRECT,OSL,,'u4-gadx(lu3)
|A.MI.A|,A.MI.A,ega,ATTESTED_DIRECT,OSL,,'u4-dugud2-'u4
